,created_at,id,id_str,sentiment,School_reopening,2020Election,News_State_Economy,Policies_Mask_Safty,General_Critics,dominant_topic
212,2020-08-08 23:23:37+00:00,1.29E+18,1.29E+18,-1,0.03,0.03,0.69,0.03,0.22,2
213,2020-08-08 23:23:32+00:00,1.29E+18,1.29E+18,-1,0.03,0.45,0.48,0.03,0.03,2
214,2020-08-08 23:23:31+00:00,1.29E+18,1.29E+18,1,0.03,0.03,0.6,0.32,0.03,2
215,2020-08-08 23:23:22+00:00,1.29E+18,1.29E+18,-1,0.42,0.02,0.02,0.02,0.52,4
216,2020-08-08 23:23:17+00:00,1.29E+18,1.29E+18,-1,0.05,0.05,0.79,0.05,0.05,2
217,2020-08-08 23:22:58+00:00,1.29E+18,1.29E+18,0,0.04,0.5,0.04,0.04,0.38,1
218,2020-08-08 23:22:38+00:00,1.29E+18,1.29E+18,1,0.73,0.07,0.07,0.07,0.07,0
219,2020-08-08 23:22:38+00:00,1.29E+18,1.29E+18,0,0.2,0.2,0.2,0.2,0.2,0
220,2020-08-08 23:22:29+00:00,1.29E+18,1.29E+18,0,0.1,0.1,0.1,0.6,0.1,3
221,2020-08-08 23:22:21+00:00,1.29E+18,1.29E+18,1,0.35,0.02,0.02,0.59,0.02,3
222,2020-08-08 23:22:06+00:00,1.29E+18,1.29E+18,1,0.07,0.4,0.07,0.07,0.4,1
223,2020-08-08 23:21:55+00:00,1.29E+18,1.29E+18,1,0.03,0.49,0.42,0.03,0.03,1
224,2020-08-08 23:21:52+00:00,1.29E+18,1.29E+18,0,0.07,0.07,0.07,0.73,0.07,3
225,2020-08-08 23:21:47+00:00,1.29E+18,1.29E+18,1,0.04,0.04,0.04,0.04,0.84,4
226,2020-08-08 23:21:38+00:00,1.29E+18,1.29E+18,-1,0.2,0.2,0.2,0.2,0.2,0
227,2020-08-08 23:21:21+00:00,1.29E+18,1.29E+18,0,0.92,0.02,0.02,0.02,0.02,0
228,2020-08-08 23:21:14+00:00,1.29E+18,1.29E+18,-1,0.03,0.59,0.32,0.03,0.03,1
229,2020-08-08 23:21:00+00:00,1.29E+18,1.29E+18,-1,0.14,0.02,0.8,0.02,0.02,2
230,2020-08-08 23:20:50+00:00,1.29E+18,1.29E+18,-1,0.23,0.02,0.17,0.57,0.02,3
231,2020-08-08 23:20:34+00:00,1.29E+18,1.29E+18,0,0.05,0.05,0.05,0.05,0.8,4
232,2020-08-08 23:20:27+00:00,1.29E+18,1.29E+18,0,0.02,0.02,0.02,0.02,0.91,4
233,2020-08-08 23:20:25+00:00,1.29E+18,1.29E+18,1,0.8,0.05,0.05,0.05,0.05,0
234,2020-08-08 23:20:23+00:00,1.29E+18,1.29E+18,1,0.1,0.1,0.1,0.6,0.1,3
235,2020-08-08 23:20:03+00:00,1.29E+18,1.29E+18,1,0.04,0.04,0.04,0.84,0.04,3
236,2020-08-08 23:19:49+00:00,1.29E+18,1.29E+18,-1,0.1,0.1,0.1,0.1,0.59,4
237,2020-08-08 23:19:48+00:00,1.29E+18,1.29E+18,1,0.22,0.03,0.68,0.03,0.03,2
238,2020-08-08 23:19:25+00:00,1.29E+18,1.29E+18,1,0.11,0.02,0.14,0.72,0.02,3
